"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 21, 2020","3,070","3,120","3,130","3,050","43.24M","-1.60%"
"Apr 20, 2020","3,120","3,270","3,270","3,120","77.31M","-3.41%"
"Apr 17, 2020","3,230","3,050","3,250","3,050","127.86M","7.67%"
"Apr 16, 2020","3,000","3,110","3,110","3,000","109.58M","-3.54%"
"Apr 15, 2020","3,110","3,250","3,300","3,090","69.83M","-4.01%"
"Apr 14, 2020","3,240","3,200","3,250","3,160","79.11M","1.89%"
"Apr 13, 2020","3,180","3,140","3,230","3,130","45.47M","1.92%"
"Apr 09, 2020","3,120","3,110","3,180","3,030","122.62M","0.32%"
"Apr 08, 2020","3,110","3,220","3,220","3,050","124.55M","-3.42%"
"Apr 07, 2020","3,220","3,390","3,500","3,200","166.43M","-3.30%"
"Apr 06, 2020","3,330","3,280","3,330","3,180","115.50M","4.06%"
"Apr 03, 2020","3,200","3,150","3,220","3,120","83.47M","2.24%"
"Apr 02, 2020","3,130","3,100","3,130","3,020","92.89M","0.97%"
"Apr 01, 2020","3,100","3,180","3,200","3,040","104.55M","-1.90%"
"Mar 31, 2020","3,160","3,180","3,300","3,120","151.30M","0.64%"
"Mar 30, 2020","3,140","3,060","3,180","2,880","134.47M","1.62%"
"Mar 27, 2020","3,090","3,050","3,270","3,050","200.95M","3.69%"
"Mar 26, 2020","2,980","2,550","3,080","2,550","267.37M","13.74%"
"Mar 24, 2020","2,620","2,700","2,880","2,570","243.78M","-2.24%"
"Mar 23, 2020","2,680","2,880","2,880","2,680","86.16M","-6.94%"
"Mar 20, 2020","2,880","2,660","2,990","2,450","267.69M","9.92%"
"Mar 19, 2020","2,620","2,810","2,810","2,620","138.99M","-6.76%"
"Mar 18, 2020","2,810","3,010","3,080","2,740","150.15M","-4.42%"
"Mar 17, 2020","2,940","3,160","3,160","2,940","150.12M","-6.96%"
"Mar 16, 2020","3,160","3,300","3,300","3,160","115.97M","-6.78%"
"Mar 13, 2020","3,390","3,250","3,490","3,080","172.25M","2.42%"
"Mar 12, 2020","3,310","3,300","3,440","3,270","84.36M","-2.65%"
"Mar 11, 2020","3,400","3,470","3,480","3,370","115.49M","-2.58%"
"Mar 10, 2020","3,490","3,480","3,620","3,480","119.72M","-0.29%"
"Mar 09, 2020","3,500","3,560","3,620","3,500","109.35M","-6.67%"
"Mar 06, 2020","3,750","3,730","3,790","3,710","86.48M","-2.09%"
"Mar 05, 2020","3,830","3,820","3,880","3,760","101.24M","0.00%"
"Mar 04, 2020","3,830","3,640","3,840","3,630","136.08M","5.80%"
"Mar 03, 2020","3,620","3,510","3,660","3,470","114.70M","5.23%"
"Mar 02, 2020","3,440","3,470","3,550","3,440","96.80M","-1.43%"
"Feb 28, 2020","3,490","3,390","3,490","3,340","151.75M","0.58%"
"Feb 27, 2020","3,470","3,510","3,550","3,420","88.39M","-1.14%"
"Feb 26, 2020","3,510","3,530","3,550","3,450","133.45M","-2.23%"
"Feb 25, 2020","3,590","3,600","3,670","3,590","73.99M","-1.37%"
"Feb 24, 2020","3,640","3,670","3,720","3,630","72.61M","-1.36%"
"Feb 21, 2020","3,690","3,650","3,710","3,640","86.86M","1.65%"
"Feb 20, 2020","3,630","3,620","3,650","3,600","53.04M","0.28%"
"Feb 19, 2020","3,620","3,620","3,640","3,590","63.72M","0.00%"
"Feb 18, 2020","3,620","3,590","3,660","3,590","94.38M","0.28%"
"Feb 17, 2020","3,610","3,630","3,660","3,590","94.89M","-0.82%"
"Feb 14, 2020","3,640","3,680","3,730","3,640","108.79M","-2.41%"
"Feb 13, 2020","3,730","3,820","3,830","3,710","66.70M","-2.36%"
"Feb 12, 2020","3,820","3,800","3,850","3,780","73.84M","0.79%"
"Feb 11, 2020","3,790","3,810","3,830","3,780","50.25M","-0.52%"
"Feb 10, 2020","3,810","3,800","3,850","3,780","86.59M","0.53%"
"Feb 07, 2020","3,790","3,780","3,820","3,760","53.58M","0.80%"
"Feb 06, 2020","3,760","3,800","3,800","3,750","56.26M","-0.27%"
"Feb 05, 2020","3,770","3,760","3,780","3,720","68.15M","0.27%"
"Feb 04, 2020","3,760","3,810","3,810","3,730","77.26M","0.53%"
"Feb 03, 2020","3,740","3,800","3,820","3,730","68.36M","-1.58%"
"Jan 31, 2020","3,800","3,890","3,890","3,780","120.45M","-1.55%"
"Jan 30, 2020","3,860","3,910","3,910","3,850","60.39M","-1.03%"
"Jan 29, 2020","3,900","3,840","3,900","3,840","51.93M","1.83%"
"Jan 28, 2020","3,830","3,810","3,840","3,800","56.21M","-0.26%"
"Jan 27, 2020","3,840","3,920","3,920","3,830","33.08M","-2.04%"
"Jan 24, 2020","3,920","3,880","3,930","3,860","58.52M","1.03%"
"Jan 23, 2020","3,880","3,860","3,880","3,830","41.08M","0.52%"
"Jan 22, 2020","3,860","3,890","3,890","3,850","45.84M","-0.77%"
"Jan 21, 2020","3,890","3,810","3,900","3,810","78.01M","2.10%"
"Jan 20, 2020","3,810","3,820","3,840","3,800","73.60M","0.00%"
"Jan 17, 2020","3,810","3,860","3,870","3,800","119.90M","-1.04%"
"Jan 16, 2020","3,850","3,890","3,890","3,830","118.90M","-0.77%"
"Jan 15, 2020","3,880","3,960","3,960","3,870","147.58M","-1.77%"
"Jan 14, 2020","3,950","3,980","4,000","3,940","95.06M","-1.99%"
"Jan 13, 2020","4,030","4,000","4,030","3,990","61.91M","1.26%"
"Jan 10, 2020","3,980","3,980","3,990","3,950","48.10M","0.51%"
"Jan 09, 2020","3,960","3,920","3,970","3,920","37.58M","1.54%"
"Jan 08, 2020","3,900","3,920","3,950","3,900","52.40M","-1.02%"
"Jan 07, 2020","3,940","3,930","3,970","3,920","51.84M","-0.51%"
"Jan 06, 2020","3,960","3,930","3,970","3,930","42.91M","-0.50%"
"Jan 03, 2020","3,980","3,960","3,980","3,930","70.03M","1.79%"
"Jan 02, 2020","3,910","3,970","4,000","3,900","52.09M","-1.51%"
"Dec 30, 2019","3,970","3,980","4,030","3,970","67.74M","-0.50%"
"Dec 27, 2019","3,990","3,990","4,010","3,980","52.81M","-0.25%"
"Dec 26, 2019","4,000","4,020","4,020","3,980","36.94M","-0.50%"
"Dec 23, 2019","4,020","4,020","4,030","3,980","58.72M","0.00%"
"Dec 20, 2019","4,020","3,900","4,020","3,900","152.13M","3.08%"
"Dec 19, 2019","3,900","3,970","3,980","3,900","127.32M","-2.26%"
"Dec 18, 2019","3,990","3,960","4,000","3,950","101.57M","0.25%"
"Dec 17, 2019","3,980","3,970","3,990","3,950","91.75M","0.25%"
"Dec 16, 2019","3,970","3,970","4,020","3,960","86.48M","-0.50%"
"Dec 13, 2019","3,990","4,000","4,020","3,960","81.94M","1.01%"
"Dec 12, 2019","3,950","4,040","4,050","3,950","147.63M","-2.47%"
"Dec 11, 2019","4,050","4,010","4,050","4,000","79.75M","0.25%"
"Dec 10, 2019","4,040","4,050","4,070","4,010","54.82M","-0.74%"
