"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 26, 2019","4,160","4,160","4,210","4,110","70.95M","-1.19%"
"Jul 25, 2019","4,210","4,160","4,240","4,160","49.28M","0.48%"
"Jul 24, 2019","4,190","4,230","4,240","4,160","73.90M","-1.41%"
"Jul 23, 2019","4,250","4,260","4,270","4,200","62.63M","-0.23%"
"Jul 22, 2019","4,260","4,250","4,270","4,230","37.51M","-0.23%"
"Jul 19, 2019","4,270","4,260","4,280","4,250","60.69M","0.71%"
"Jul 18, 2019","4,240","4,220","4,250","4,210","45.41M","0.24%"
"Jul 17, 2019","4,230","4,250","4,260","4,220","32.07M","-0.24%"
"Jul 16, 2019","4,240","4,240","4,280","4,210","45.46M","-0.93%"
"Jul 15, 2019","4,280","4,250","4,290","4,230","66.96M","2.39%"
"Jul 12, 2019","4,180","4,240","4,250","4,170","57.09M","-2.11%"
"Jul 11, 2019","4,270","4,250","4,280","4,240","25.65M","-0.47%"
"Jul 10, 2019","4,290","4,310","4,320","4,260","62.53M","-1.38%"
"Jul 09, 2019","4,350","4,300","4,370","4,270","124.82M","1.87%"
"Jul 08, 2019","4,270","4,230","4,290","4,210","57.90M","-0.23%"
"Jul 05, 2019","4,280","4,260","4,280","4,240","50.33M","0.71%"
"Jul 04, 2019","4,250","4,190","4,260","4,190","38.46M","0.24%"
"Jul 03, 2019","4,240","4,160","4,240","4,160","63.30M","-0.24%"
"Jul 02, 2019","4,250","4,240","4,250","4,180","88.00M","0.71%"
"Jul 01, 2019","4,220","4,200","4,240","4,170","79.38M","1.93%"
"Jun 28, 2019","4,140","4,100","4,200","4,090","130.15M","1.22%"
"Jun 27, 2019","4,090","4,010","4,120","4,000","94.22M","2.76%"
"Jun 26, 2019","3,980","4,020","4,050","3,980","56.09M","-0.75%"
"Jun 25, 2019","4,010","4,040","4,040","4,000","42.60M","0.75%"
"Jun 24, 2019","3,980","4,050","4,050","3,970","50.53M","-1.49%"
"Jun 21, 2019","4,040","4,010","4,040","3,950","154.05M","0.00%"
"Jun 20, 2019","4,040","4,110","4,110","4,020","57.67M","-1.46%"
"Jun 19, 2019","4,100","4,020","4,120","4,020","100.21M","3.02%"
"Jun 18, 2019","3,980","3,890","3,990","3,890","66.11M","2.05%"
"Jun 17, 2019","3,900","3,950","3,970","3,900","60.85M","-2.26%"
"Jun 14, 2019","3,990","4,020","4,050","3,970","92.47M","0.00%"
"Jun 13, 2019","3,990","3,940","3,990","3,900","115.73M","1.27%"
"Jun 12, 2019","3,940","3,880","3,950","3,840","134.72M","-1.99%"
"Jun 11, 2019","4,020","4,010","4,060","4,000","88.86M","-0.50%"
"Jun 10, 2019","4,040","4,000","4,060","3,970","222.52M","3.59%"
"May 31, 2019","3,900","3,780","3,930","3,780","194.33M","3.17%"
"May 29, 2019","3,780","3,750","3,830","3,730","122.53M","2.44%"
"May 28, 2019","3,690","3,800","3,820","3,690","322.25M","-3.40%"
"May 27, 2019","3,820","3,760","3,830","3,750","87.15M","1.87%"
